title,authors,year,date,venue,type,screen_decision,relevance_score,citations,screen_note,url,doi,abstract,source_index
Continual Gradient Low-Rank Projection Fine-Tuning for LLMs,"Chenxu Wang, Yilin Lyu, Zicheng Sun, Liping Jing",2025,2025-01-01,,conference-paper,Include,32,2,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.18653/v1/2025.acl-long.721,https://doi.org/10.18653/v1/2025.acl-long.721,"Continual fine-tuning of Large Language Models (LLMs) is hampered by the trade-off between efficiency and expressiveness.Low-Rank Adaptation (LoRA) offers efficiency but constrains the model's ability to learn new tasks and transfer knowledge due to its lowrank nature and reliance on explicit parameter constraints.We propose GORP (Gradient LOw Rank Projection) for Continual Learning, a novel training strategy that overcomes these limitations by synergistically combining full and low-rank parameters and jointly updating within a unified low-rank gradient subspace.GORP expands the optimization space while preserving efficiency and mitigating catastrophic forgetting.Extensive experiments on continual learning benchmarks demonstrate GORP's superior performance compared to existing state-of-the-art approaches.",OpenAlex
Latent-LoRA: Compact Latent-Space Adapters with Gradient-Free Routing for Continual Learning,"Reza Rahimi Azghan, Gautham Krishna Gudur, Giulia Pedrielli, Pavan Turaga, Hassan Ghasemzadeh",2026,2026-07-26,arXiv (Cornell University),preprint,Include,32,0,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://arxiv.org/abs/2607.23837,,"Large language models generalize well to individual tasks but lack an inherent mechanism for learning them sequentially, leading to catastrophic forgetting. To mitigate this, LoRA-based continual learning methods allocate a separate low-rank adapter per task, yet existing approaches either require task identity at inference or sum all adapters indiscriminately, letting irrelevant branches distort the output. Recent gating-based solutions route inputs to the correct adapter but introduce trainable parameters that themselves need protection against forgetting. In this work, we observe that pooled token embeddings from a frozen LLM embedding layer already separate task distributions throughout the learning sequence. A Gaussian mixture model fitted on these embeddings, without any gradient-based training, is sufficient for task-agnostic adapter selection at test time. This eliminates the need for a learned gating module. On the adapter side, constraining each task's parameters to the principal subspace of the pretrained weights via SVD yields a compact latent-space parameterization. Within this subspace, orthogonal regularization directly controls inter-task interference. The resulting system, Latent-LoRA, is replay-free, requires no trainable routing component, and uses substantially fewer parameters per task. Experiments across five model scales and two established continual learning benchmarks show state-of-the-art performance with near-zero forgetting.",OpenAlex
LoRA in LoRA: Towards Parameter-Efficient Architecture Expansion for Continual Visual Instruction Tuning,"Chang Che, Ziqi Wang, Yang, Pengwan, Qi Wang, Hui Ma, Zenglin Shi",2025,2025-08-08,arXiv (Cornell University),preprint,Include,31,2,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.48550/arxiv.2508.06202,https://doi.org/10.48550/arxiv.2508.06202,"Continual Visual Instruction Tuning (CVIT) enables Multimodal Large Language Models (MLLMs) to incrementally learn new tasks over time. However, this process is challenged by catastrophic forgetting, where performance on previously learned tasks deteriorates as the model adapts to new ones. A common approach to mitigate forgetting is architecture expansion, which introduces task-specific modules to prevent interference. Yet, existing methods often expand entire layers for each task, leading to significant parameter overhead and poor scalability. To overcome these issues, we introduce LoRA in LoRA (LiLoRA), a highly efficient architecture expansion method tailored for CVIT in MLLMs. LiLoRA shares the LoRA matrix A across tasks to reduce redundancy, applies an additional low-rank decomposition to matrix B to minimize task-specific parameters, and incorporates a cosine-regularized stability loss to preserve consistency in shared representations over time. Extensive experiments on a diverse CVIT benchmark show that LiLoRA consistently achieves superior performance in sequential task learning while significantly improving parameter efficiency compared to existing approaches. The code is available at https://github.com/chanceche/LiLoRA.",OpenAlex
Boosting LLM Translation Skills without General Ability Loss via Rationale Distillation,"Junhong Wu, Yang Zhao, Yangyifan Xu, Bing Liu, Chengqing Zong",2025,2025-01-01,,conference-paper,Include,31,2,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.18653/v1/2025.findings-acl.632,https://doi.org/10.18653/v1/2025.findings-acl.632,"Large Language Models (LLMs) have achieved impressive results across numerous NLP tasks, and fine-tuning them for Machine Translation (MT) has improved their performance.However, vanilla fine-tuning often leads to catastrophic forgetting, compromising the broad general abilities of LLMs and introducing potential security risks.These abilities, which are developed using proprietary and unavailable training data, make simple data replay methods ineffective.To overcome this issue, we propose a novel approach called RaDis (Rationale Distillation).RaDis harnesses the strong generative capabilities of LLMs to create rationales for training data, which are then ""replayed"" to prevent forgetting.These rationales connect prior knowledge with new tasks, acting as selfdistillation targets to regulate the training process.By jointly training on reference translations and self-generated rationales, the model can learn new translation skills while preserving its general abilities across other tasks.Additionally, RaDis provides a fresh perspective on using rationales in the CL field and has the potential to serve as a general continual learning method for a variety of tasks.",OpenAlex
Low-Rank Adaptation for Scalable Large Language Models: A Comprehensive Survey,"Chia Xin Liang, Zhuming Bi, Tianyang Wang, Ming Liu, Xinyuan Song, Yichao Zhang, Junhao Song, Qian Niu",2025,2025-05-01,,preprint,Include,31,1,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.36227/techrxiv.174613328.82961968/v1,https://doi.org/10.36227/techrxiv.174613328.82961968/v1,"This survey systematically reviews Low-Rank Adaptation (LoRA) methods and their variants for Large Language Models (LLMs), emphasizing their efficiency in adapting models without compromising performance. We analyze recent advancements, technical foundations, and practical applications of these methods. By comparing LoRA with full fine-tuning, we highlight that although LoRA often underperforms on typical benchmark tasks, it effectively mitigates catastrophic forgetting and preserves generalization to tasks beyond the target domain. Additionally, this survey discusses advanced approaches, including robust adaptation, sparse fine-tuning, and hybrid techniques, along with in-depth examinations of spectral properties, generalization behaviors, and intruder dimensions. We identify significant progress, clarify current methodological challenges, and propose future research directions, providing a concrete and actionable guide for enhancing parameter-efficient fine-tuning of large-scale language models.",OpenAlex
InsCL: A Data-efficient Continual Learning Paradigm for Fine-tuning Large Language Models with Instructions,"Yifan Wang, Yafei Liu, Chufan Shi, Haoling Li, Chen Chen, H. Lu, Yujiu Yang",2024,2024-03-18,arXiv (Cornell University),preprint,Include,31,1,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.48550/arxiv.2403.11435,https://doi.org/10.48550/arxiv.2403.11435,"Instruction tuning effectively optimizes Large Language Models (LLMs) for downstream tasks. Due to the changing environment in real-life applications, LLMs necessitate continual task-specific adaptation without catastrophic forgetting. Considering the heavy computational cost, replay-based Continual Learning (CL) methods are the simplest and most widely used for LLMs to address the forgetting issue. However, traditional replay-based methods do not fully utilize instructions to customize the replay strategy. In this work, we propose a novel paradigm called Instruction-based Continual Learning (InsCL). InsCL dynamically replays previous data based on task similarity, calculated by Wasserstein Distance with instructions. Moreover, we further introduce an Instruction Information Metric (InsInfo) to quantify the complexity and diversity of instructions. According to InsInfo, InsCL guides the replay process more inclined to high-quality data. We conduct extensive experiments over 16 tasks with different training orders, observing consistent performance improvements of InsCL. When all tasks have been trained, InsCL achieves performance gains of 3.0 Relative Gain compared with Random Replay, and 27.96 Relative Gain compared with No Replay.",OpenAlex
Antahkarana in the Age of Transformers: Continual Fine-Tuning of Large Language Models via Vedantic Neuromodulatory Mechanisms,Venkatesh Swaminathan,2026,2026-08-05,Zenodo (CERN European Organization for Nuclear Research),software,Include,30,135,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.5281/zenodo.19522347,https://doi.org/10.5281/zenodo.19522347,"Version 2 (2026-08-04). Revised to the NLL Universal Paper Format v6. The original text is retained in full; nothing has been deleted. Corrections appear as marked blocks placed at the section that carries the claim, and each one states what the paper said, what the data show, the corrected claim, why it happened, and what still stands. This version withdraws the abstract's headline result.The paper's own §3.4 defines lower BWT and lower AA as better; canonical condition F (4.25 / 1.11) is worse than baseline condition A (4.17 / 1.05) on both, so the claimed ""8.3% reduction in catastrophic forgetting"" is inverted and every condition underperforms doing nothing; ""Buddhi cross-substrate invariance"" is also withdrawn, being a closed-form sigmoid that cannot vary between substrates.The LoRA port of five mechanisms to Phi-2 is correctly described and stands, as does the observation that thresholds tuned at CIFAR loss scale require retuning at LLM scale. Everything below this line is the original description from version 1. It is retained unchanged for the record. Where it conflicts with the corrections above, the corrections stand. Two framings it repeats have since been withdrawn in full — the Bhaya Quiescence Law and the Buddhi S-Curve. Both are addressed in Maya-Meta P1, now superseded, and in the self-audit of Maya-Meta P2. This paper presents the first translation of the Advaita Vedantic Antahkarana neuromodulatory framework — originally developed for spiking neural networks — into the gradient-space dynamics of LoRA continual fine-tuning applied to Phi-2, a 2.7-billion-parameter large language model, testing whether mechanisms rooted in ancient Indian cognitive philosophy can govern how modern AI systems learn sequentially without forgetting. Five computational primitives derived from the Antahkarana (Bhaya, Vairagya, Buddhi, Karma, and Prana) were mapped to adapter training dynamics and evaluated across eight sequential NLP domains using the TRACE benchmark. The canonical calibrated condition achieves a backward transfer score of BWT=1.11 versus a baseline of BWT=1.05, representing an 8.3% reduction in catastrophic forgetting, while the Buddhi S-curve consolidation gate traces a trajectory from 0.030 to 0.988 across a single training domain — identical to results observed in prior spiking neural network experiments. This work is part of the Maya Research Series (13 papers) and confirms cross-substrate invariance of the Buddhi S-curve constant alongside the Bhaya Quiescence Law (β* ≤ 0.32%) and Buddhi S-Curve Determinism (R²=1.0000), establishing these as stable empirical signatures across both neuromorphic and large language model substrates. Series: Part of the Maya Research Series — 13 papers implementing the Advaita Vedantic Antahkarana as computational primitives in spiking neural networks. Bhaya Quiescence Law (β* ≤ 0.32%) and Buddhi S-Curve Determinism (R²=1.0000) confirmed across all papers. Links: GitHub Repository (private — to request access: email research@nexuslearninglabs.in with subject Code Access Request — Maya-LLM and your research context) | Interactive Dashboard | FAQ | Full Series Index — venky2099.github.io Nexus Learning Labs, Bengaluru · UDYAM-KR-02-0122422 · BHASKAR IN-0526-9452JSORCID: 0000-0002-3315-7907 · VAIRAGYA_DECAY_RATE = 0.002315 — an ORCID-derived provenance mark, not an experimental parameter. Each paper's disclosure block states whether it reached a result in that paper.Canary: MayaNexusVS2026NLL_Bengaluru",OpenAlex
Introducing PolySea: An LLM-Based Polymer Smart Evolution Agent,"Haoke Qiu, Jichun Zhao, Enzhe Jing, Weiguo Hu, Y.F. Lv, Xuefeng Li, Zhao‐Yan Sun",2025,2025-04-17,ChemRxiv,preprint,Include,30,6,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.26434/chemrxiv-2025-zw65g,https://doi.org/10.26434/chemrxiv-2025-zw65g,"The integration of artificial intelligence with materials science has opened new frontiers in accelerated materials discovery. However, general-purpose large language models (LLMs) often struggle with domain-specific challenges, necessitating the development of specialized models. Here, we introduce PolySea, a domain-specific LLM tailored for polymer informatics, designed to address key limitations in polymer property prediction, inverse design, and knowledge extraction. PolySea is trained on a meticulously curated dataset, integrating high-fidelity polymer property data from PolyInfo with structured polymer knowledge distilled from expert-curated sources. By leveraging LoRA-based fine-tuning, we mitigate catastrophic forgetting while enhancing computational efficiency, ensuring optimal retention of both general linguistic capabilities and polymer-specific knowledge. PolySea demonstrates state-of-the-art performance across diverse polymer-related tasks. On regression benchmarks, it achieves an R² score of 0.97, while delivering 79% classification accuracy in thermal stability prediction. Comparative assessments against leading general-purpose LLMs—including ChatGPT-o1 and DeepSeek-R1—highlight PolySea’s superior precision, particularly in on-demand polymer design, where it generates novel polymer structures unseen in training yet aligned with target property constraints. The generated polymers are rigorously validated using a graph neural network surrogate model, Polymer Genome and density functional theory experiments, confirming their feasibility for real-world synthesis. Our findings underscore the transformative potential of domain-adapted LLMs in accelerating polymer informatics. By bridging the gap between AI and materials science, PolySea not only establishes a new paradigm for polymer design but also paves the way for the development of specialized AI models across broader scientific disciplines.",OpenAlex
MoRAL: MoE Augmented LoRA for LLMs' Lifelong Learning,"Shu Yang, Muhammad Asif Ali, Chenglong Wang, Lijie Hu, Di Wang",2024,2024-02-17,arXiv (Cornell University),preprint,Include,30,3,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://doi.org/10.48550/arxiv.2402.11260,https://doi.org/10.48550/arxiv.2402.11260,"Adapting large language models (LLMs) to new domains/tasks and enabling them to be efficient lifelong learners is a pivotal challenge. In this paper, we propose MoRAL, i.e., Mixture-of-Experts augmented Low-Rank Adaptation for Lifelong Learning. MoRAL combines the multi-tasking abilities of MoE with the fine-tuning abilities of LoRA for effective life-long learning of LLMs. In contrast to the conventional approaches that use factual triplets as inputs MoRAL relies on simple question-answer pairs, which is a more practical and effective strategy for robust and efficient learning. Owing to new data settings, we introduce a new evaluation benchmark namely: Life Long Learning of LLM (5L-bench) encompassing a newly curated dataset of question-answer pairs, and a set of evaluation metrics for rigorous evaluation of MoRAL in open-book and closed-book settings. Experimental evaluation shows (i) LLMs learn fast in open-book settings with up to 30.15% improvement in ""RA"" for Phi-2-2.7B compared to closed-book (for models fine-tuned with MoRAL); (ii) MoRAL shows higher performance improvement for models with a greater number of parameters; (iii) MoRAL is robust to catastrophic forgetting offering better knowledge retention compared to baselines.",OpenAlex
Muon-OGD: Muon-based Spectral Orthogonal Gradient Projection for LLM Continual Learning,"Binghang Lu, Zheyuan Deng, Runyu Zhang, Bing Hu, Yunhan Zhao, Yuan Tian, Changhong Mou, Guang Lin",2026,2026-05-09,arXiv (Cornell University),preprint,Include,30,0,Directly addresses LLM fine-tuning/continual-learning retention or a transferable mechanism.,https://arxiv.org/abs/2605.08949,,"A central challenge in continual learning for large language models (LLMs) is catastrophic forgetting, where adapting to new tasks can substantially degrade performance on previously learned ones. Existing projection-based methods mitigate such interference by restricting parameter updates to subspaces that are orthogonal to directions associated with past tasks. However, these methods are typically formulated under Euclidean parameter geometry, with update magnitudes and projections governed by the Frobenius norm. The recent empirical success of the Muon optimizer, which applies orthogonalized matrix updates and admits a spectral-norm interpretation, suggests that Frobenius geometry may not be the most effective choice for matrix-valued LLM parameters. Motivated by this observation, we propose Muon-OGD, a spectral-norm-aware continual learning framework that integrates Muon-style operator-norm geometry with orthogonal projection constraints. Our method formulates each update as a spectral-norm-constrained optimization problem with linear non-interference constraints, and solves it efficiently through dual iterations and Newton--Schulz matrix-sign approximations. By applying orthogonalized momentum updates that avoid protected directions associated with prior tasks, Muon-OGD aims to improve the stability--plasticity trade-off in sequential LLM adaptation. We evaluate the proposed method on standard continual learning benchmarks, TRACE, and domain-specific Coding--Math--Medical curricula using both encoder--decoder and decoder-only architectures. Empirically, Muon-OGD consistently improves over sequential fine-tuning and competitive orthogonal-gradient baselines, while remaining computationally scalable. These results suggest that spectral-norm-aware update geometry provides a practical and effective alternative to Frobenius-norm projection for continual learning in LLMs.",OpenAlex
